藍子,秋と言えば、写真の秋っ。この季節は素敵なものがいっぱいで、お散歩してるだけで撮りたいものがたくさん見つかりますねっ。
藍子,これは……ブレちゃってるかも……。
藍子,ふふふっ、そんなに慌てなくても……。
藍子,茜ちゃん、そんなに大きな声出すと……。
藍子,うーん……。私も上手なわけじゃないから、技術的なアドバイスはできないけど……。写真を撮ること自体を目的にしないこと、かなぁ？
藍子,ふふふ。お散歩するとね、色んなものに出会うよね。お昼寝してる猫とか、綺麗に咲いた花、空にかかる虹……。見つけたら、なんだか幸せな気持ちになれるもの。
藍子,そうかな？ふふふっ。そう言ってもらえると嬉しいなっ。
藍子,もともと、写真が趣味だったわけじゃないんだけど……。お散歩して、見つけた幸せを誰かにおすそ分けしたいと思って、写真を撮るようになったの。
藍子,だから、写真を撮るのが目的じゃなくて、自分が幸せを感じるものに出会えれば、いいんじゃないかなぁ。私は、そう思ってお散歩しているよ。
藍子,ふふふっ、その時は出会えるまでお散歩を続けましょう♪
藍子,いえいえ♪だって、こうやって茜ちゃんとおしゃべりしながら、お散歩してるだけで、とっても楽しいからっ♪
藍子,ふふふっ、さっ、あかねちゃんもたまにはのんびり歩いて、幸せを探しにいこうっ♪なーんて、ふふふっ。
藍子,えっ？
藍子,わぁ、楽しみですっ。それじゃ、みんなのところに戻りましょうか。
藍子,もう……茜ちゃんたら。
藍子,もう……恥ずかしいからやめてって言ってるのに、聞いてくれなくて。ちゃんと景色も自然も私の方で撮ってるからねっ。
藍子,あ……！茜ちゃん、ダメ〜っ！恥ずかしいから〜っ。
藍子,もう……ふふふっ。じゃあ、お返しに写真がうまく撮れなくて、しょんぼりしてる茜ちゃんの写真、シェアしちゃおう。
藍子,もちろんっ。せっかくだからみんなで記念撮影もしちゃいましょうっ♪
藍子,あれはシェア決定ですっ。
藍子,うふふっ。