コメント,プレゼントを選ぶときは、相手の喜ぶ顔を思い浮かべて……その人が、一番幸せな気持ちになれるものを、選んであげたいな……。でも、選んでいる私もとっても幸せなのが、不思議
マイスタジオ,聖なる夜も幸せになるように…
,幸せに包まれてほしいから…
,どれにしようか、迷うなぁ…
,あ、私自身へのプレゼント…考えるの忘れてました…あぅ〜…
お仕事,聖夜もお仕事、アイドルですから
,ゆっくり幸せに浸れるように…
,○○さんがプレゼントを選ぶなら、どんなものでしょう?
,雑貨屋さんの店員もいいなぁ…
お仕事(親愛度UP),やっぱり、喜んでもらいたいと思うから…大切なみんなに…♪
LIVEバトル,幸せを…あなたに…
親愛度MAX,プレゼントは、やっぱり、日常で使えるものがいいかなと思って…。
,あと、プロデューサーさんといえばいつもネクタイだから…ふふっ♪
マイスタジオ(親愛度MAX),ラッピングして、きれいに包んであげたいな。この想いも、一緒に
お仕事(親愛度MAX),○○さん、開けるときは、一人で開けてくださいね…
コメント,聖なる夜に、みんなに幸せを配るお仕事なんてすてきですよね。私も、撮影じゃなくて本当に空が飛べたらなぁ…。
,きっと、どこまでもみんなに配っていくと思います。ふふっ
マイスタジオ,聖なる夜も幸せになるように…
,幸せに包まれてほしいから…
,幼いころ、信じてました。サンタさん。煙突はなかったですけど
,ほんとの空なら…ぶるぶるっ
お仕事,聖夜もお仕事、アイドルですから
,ゆっくり幸せに浸れるように…
,みんなを笑顔にするのは、アイドルもサンタも同じですよね。きっと
,サンタさんのお仕事なら歓迎です
お仕事(親愛度UP),○○さんと、空を飛べたら楽しそうですね…ふふっ♪
LIVEバトル,幸せを…みんなに…
親愛度MAX,みんなを幸せにするサンタさんも、きっと誰かが幸せにすると思います。
,私と○○さんも、そんな関係だったらなぁ…
マイスタジオ(親愛度MAX),みんなが幸せなのがいいんです。私も、幸せな気持ちですから
お仕事(親愛度MAX),○○さんが…私に幸せをくれるサンタさんですよ
登場時,
,私からもファンとみなさんへ、気持ちを込めた歌を贈りますよっ♪
LIVE開始,
,みんなへ届きますように…
勝利,
,
引き分け,
,
敗北,みなさんの歌声、素敵でした。私もプレゼント、もらった気分です
,
思い出エピソード前編,はぁ……プロデューサーさん、もういつの間にか、季節は冬になっていますね。師走ですけど、あいかわらずお忙しいですか?
,あんまり働き詰めないように、ゆっくり休みながらお仕事してくださいね。私たちのためなのは、わかってますから。
,そうそう、今日すこし時間があったので街を散歩してきたんです。クリスマスらしく飾り付けてあって、とっても賑やかでしたよ。
,あと、路地裏に新しい雑貨屋さんを見つけたんです。ここの部屋より狭い、小さな小さなお店なんですけど……。
,そこで、輸入物のクリスマス雑貨がいっぱい飾ってあったんです。一個一個のオーナメントが手作りらしくて、表情も違っていて……。
,見つめていると、なんだか童話の世界に紛れ込んじゃったみたいで、とっても幸せな気分になれるお店だったんですよ〜。
,あっ、私ばっかりお話しちゃって、すみません……。クリスマスですから、プロデューサーさんにも、幸せをおすそ分けしたくて♪
思い出エピソード後編,この星は……星といったら、やっぱり未央ちゃんかな?きらきら輝いて、みんなを笑顔にするスターにぴったり。
,こっちのジンジャークッキーは……やっぱり、かな子ちゃん……よりも、茜ちゃんかなぁ?いつもたくさんご飯食べてるし。ふふっ。
,プレゼントを選ぶのって、とっても楽しいなぁ……。きっと、もらうみんなよりも、私のほうが楽しんじゃってるかも……えへっ。
,あ、店員さん、いろいろ広げちゃってすみません。お店のスペースまで貸してもらって。でも、その分素敵なプレゼントになりそうです。
,さて……みんなへのプレゼントはこのくらいかな?あ、金のキノコのオーナメントだ。これは、輝子ちゃん……喜んでくれるかなぁ?ふふ。
,ほんとうに、みんなへのプレゼントはこれくらいにして、と……。本命のプレゼントを選ばなくっちゃ。でも、もう決まってるかな……。
,大切な人へのプレゼントは、気持ちを込めて……。クリスマスだから、たくさんのありがとうの想い出を込めて、贈りたいな……♪
