コメント,ふふっ、ここはまだちょっと冷たいみたい。でも、もう春の陽気に包まれているから、この水の温度も気持ちいいですね…。○○さんも、いっしょにいかがですか?ほらっこっちっ
マイスタジオ,○○さんと一緒に幸せな時間がすごせて、嬉しいな…
,春はいいですね…幸せな季節♪
,暖かいと、心も温かくなります
,きゃは☆…とか…お恥ずかしい
お仕事,弾むような声で歌いますから
,○○さんもスーツだからって遠慮しないでください、ほら
,スキップしたくなっちゃう気分♪
,たまにはのんびりしませんか?
お仕事(親愛度UP),ほら、○○さんも笑顔になります♪写真に収めたいな
LIVEバトル,…え、もうお時間ですか?
親愛度MAX,○○さんとゆっくりできてよかったです。だって、またすぐに忙しくなりそうですし…でも、また来ましょうね
マイスタジオ(親愛度MAX),○○さんといると、時間がすぎるのが早いみたいです
お仕事(親愛度MAX),もうお仕事の時間ですか?…でも、もう少しだけ…お願いっ
コメント,私を待ってくれるファンのみなさんに、春風みたいな歌声をお届けしたいな。○○さんも、見守っててくださいね。私きっと、みなさんの心に花を咲かせてきますから…いってきますっ
マイスタジオ,春はいいですね…幸せな季節♪
,暖かいと、心も温かくなります
,お花は詳しくないですけど、見てると華やかだから好きですね
,アイドルらしい衣装、ドキドキですね
お仕事,弾むような声で歌いますから
,スキップしたくなっちゃう気分♪
,たまにはキリっとしてみますっ
,ファンのみんなに、春っぽいトークを…あっ、MC長くなっちゃう…?
お仕事(親愛度UP),○○さんみたいにテキパキお仕事できたらいいのになぁ
LIVEバトル,みなさん笑顔でいいですね
親愛度MAX,私の心には、もうとっくに春が来てるんです。だって、○○さんが太陽みたいな暖かい眼差しを注いでくれるから…
マイスタジオ(親愛度MAX),ふぅ…あ、○○さん。ぼんやりしてました。つい、幸せで
お仕事(親愛度MAX),はぁ…あっ、○○さん…ごめんなさい、私また幸せで…
登場時,
,ふふっ、未央ちゃんとなら、私も元気な歌声になれるかも♪
LIVE開始,
,未央ちゃん、お願いします
勝利,どうですか♪私も元気に歌えましたよね。元気が一番です♪
,
引き分け,
,そうですね。私、みんなと一緒の素敵なLIVEにしたいです
敗北,
,いいんです。私もコールに乗るの、楽しかったですから♪
登場時,はい、ここからは高森藍子がゆっくりした時間をお届けします
,
LIVE開始,夕美さん、よろしくですっ
,
勝利,あぁ…ごめんなさい、夕美ちゃん…じゃなくって、夕美さんっ
,
引き分け,
,わぁっ、ありがとうごうざいます〜っ！サプライズ、びっくりっ
敗北,みんな、私達の声で癒やされてくれたみたいです♪
,
登場時,
,昨日よりも鮮やかな私たちを、見逃さないでくださいねっ
LIVE開始,
,
勝利,衣装もステージもカラフルで、まるで私たちみたい♪それに、客席も…!
,
引き分け,
,遠くのお客さんの所まで歩いていけたらって思って♪えへへっ
敗北,
,
登場時,
,
LIVE開始,
,のんびり歩く速さでっ♪
勝利,
,
引き分け,
,3人の色が重なって、より鮮やかに。それが私たちですっ
敗北,
,この後、ゆっくりお散歩はどうかな? 秋の訪れを感じながら♪
