コメント,○○さんっ。お仕事のお供に、ふかふかのぬくもりはいかがですか？せっかくのお天気だから、事務所のブランケットを洗濯してたんです。
,おひさまの光を吸い込んで、いい匂いですよ♪
マイスタジオ,たくさん、使ってほしいな
,優しい素材でできてます♪
,お昼寝にもぴったりですねっ
,お洗濯したいもの、ありませんか？今からでも乾きそうですよ
お仕事,みんなのために、できるコトを♪
,日々の心がけが、大切ですねっ
,はぁ〜、癒されるなぁ…♪
,洗濯物の隙間から見える空も綺麗で…写真、撮っちゃいました
お仕事(親愛度UP),幸せだな〜って思うと、伝えたくなるんです。大切な人に♪
LIVEバトル,洗いたてですよっ
親愛度MAX,知ってますか？洗いたてのブランケットに包まれると、もっと幸せになれるんですよ。はいっ、○○さんも遠慮なくどうぞ♪
マイスタジオ(親愛度MAX),ふかふかの幸せ、○○さんにも感じてほしくて♪
お仕事(親愛度MAX),○○さん、もっと近くでっ。ほら、おひさまの匂い…♪
コメント,みなさん、こんにちはっ。今日はこのイベントを通して、緑や自然のこと、一緒に考えていきましょう。
,今からお渡しするエコバッグは…実は、私がデザインさせてもらいました。ぜひ、使ってください♪
マイスタジオ,たくさん、使ってほしいな
,優しい素材でできてます♪
,ひとつになって、自然な私で…
,難しいことは話せないけど…精一杯、みなさんに伝えてきます
お仕事,みんなのために、できるコトを♪
,日々の心がけが、大切ですねっ
,緑がいっぱいの会場、ステキだな…
,私の大好きなお散歩も、たくさんの緑があってこそですから♪
お仕事(親愛度UP),藍子印のバッグです♪お出かけの時は、連れて行ってくださいね
LIVEバトル,ノベルティです、どうぞ♪
親愛度MAX,緑が増えると、それだけお散歩コースも増えますよね。キレイな緑の中を、○○さんとお散歩できたら…ふふっ、幸せですね♪
マイスタジオ(親愛度MAX),会場、回ってみますか？○○さんについて行きますっ
お仕事(親愛度MAX),事務所の緑化計画なんてどうでしょう。まずは、私たち二人で♪
