コメント,裏路地に潜む、腕利きの盗賊…いつもと違う雰囲気の役ですから、しっかり予習してきました。だから撮影も、きっと上手くいきます。『あまりアタシを、ナメないでくれよ？』…ふふ、キマりました♪
マイスタジオ,私の姿、見逃さないでください
,新しい私、演じてみますっ♪
,いつもの私より、大胆に…！
,ファンタジーな世界も素敵♪こんな街を、お散歩してみたいですね…
お仕事,ゆるふわは置いてきましたっ
,不敵な笑み、ですよね。へへっ♪
,『油断は命取りってねっ』
,ワルい盗賊さんの衣装…私にも、ちゃんと着こなせてるかなぁ
お仕事(親愛度UP),不安な気持ちは…○○さんに、盗まれちゃいました♪
LIVEバトル,『アンタ、隙だらけだよっ』
親愛度MAX,ワルい子の気分、演技だけじゃもったいないですね。これから○○さんの前で、もっとワガママになれたら…なんて。ふふ♪
マイスタジオ(親愛度MAX),一緒に写真、撮りませんか？ お仕事じゃなくて、記念に…です♪
お仕事(親愛度MAX),○○さんとなら、追いかけっこも楽しそうですね♪
コメント,『勇者サマの懐に手を出したせいで、こんなトコロまで来るなんてなっ！』　元盗賊は心を入れ替え、勇者の仲間になって…。ファンタジーならではの、激しいアクション…大変だけど、演じきってみせます！
マイスタジオ,『絶対絶命…それでも戦う！』
,新しい私、演じてみますっ♪
,いつもの私より、大胆に…！
,ダンスより激しいけど…演技が熱が入ると、身体も自然に動きます！
お仕事,『油断は命取りってねっ』
,ゆるふわは置いてきましたっ
,『そんな攻撃…効かないっ！』
,『盗み稼業とはもうオサラバさ！この拳で、勇者サマの敵を討つ！』
お仕事(親愛度UP),戦いとかは、苦手でも…○○さんみたいにっ…！
LIVEバトル,『アタシの拳は地を砕くっ！』
親愛度MAX,はぁ…激しいアクションでヘロヘロです〜…。今の私には、勇者サマじゃなくて…○○さんの支えが必要です〜。緊張しましたぁ…
マイスタジオ(親愛度MAX),『アタシだって、戦える…そう教えてくれた仲間がいるんだっ！』
お仕事(親愛度MAX),○○さんのイメージを、形にして…カッコよく力強い、私っ！
思い出エピソード前編,お疲れさまです、プロデューサーさん。今日もお忙しそうですね♪そんな大人気のプロデューサーさんに、私からもお話があって……。
,次のお仕事では、ゲームのようなファンタジー世界のセットで、撮影するんですよね。衣装も本格的だそうで、楽しみなんです♪
,ただちょっと、お仕事の資料を読んでいて気になる部分があって……。その、ファンタジー世界での、私の配役なんですけど……。
,資料には、「クールでちょいワルな雰囲気の盗賊」って。私のイメージとは、少し違う気がして……間違いじゃないんでしょうか？
,……ん〜、いつもと違う方向性で、新しい魅力を……ですか? そういう意図なら、頑張ってみようかと思いますっ。
,みんなからも「藍子ちゃんはゆるふわ〜」なんて言われちゃうから……でも、だからこその挑戦ってことですよねっ。
,これからもっと資料を読み込んで、予習してみますっ。でも、本番入る前には、プロデューサーさんの意見も、聞かせてくださいね。
思い出エピソード後編,『いっちょあがりっと。ハハッ、表は随分騒がしいね。どうせ、この金貨の持ち主が、真っ赤な顔して喚いてるんだろうっ』
,……えぇと、どうですか? 台本通り、ちょいワルな盗賊アイコになってみました。こういう役って、難しいけど、面白いですねっ。
,実は、事務所のみんなにも相談して、演技の練習をさせてもらったんです。未央ちゃんに、茜ちゃんに……あと、蘭子ちゃんにも！
,それに、プロデューサーさんのことも観察したりして……ああ、変な意味じゃなくて、その……カッコイイ仕草とか、参考にしたりっ！
,けど、プロデューサーさんの顔を見てると……なんだかほっとして。気が緩んで笑顔になっちゃいそうで、いけませんね。うふふっ。
,やっぱり、もうちょっとカッコよく演じてみることにします。だって、プロデューサーさんを参考にしたら……そうなりますからね。
,そろそろ、始まりますね。じゃあ、本番が始まる前に、プロデューサーさんに一言だけ……『アンタの大切なモノ、頂くよ』……ふふっ♪
