プロフィール,よーく見ていてね。シロツメクサの指輪は、こうやってつくるの。
,茎を巻きつけて…ほらっ♪指につければ、きっと、いいおまじないになるね。撮影も、うまくいきますようにって
ホーム,このかぐわしさも楽しみのひとつですね。花の香り、それから緑の香り…
,ありのままの自然の姿を、なるべく生かして…。アイドルも同じなのかも
,出来のよさに、こだわり過ぎないでね。大切なのは、相手に似合うこと♪
,ありすちゃん…優しさって、心のゆとりから出てくるものじゃないかな
,まだ指にはめちゃダメですよ。今、つくってる最中ですから…。ねっ
,ありすちゃんは集中してるからイタズラしないでっ。代わりに私が…
,なんでも作りますよ。はい、高森手芸店、うけたまわりました♪ふふっ
,その手、なにを捕まえたんですか？あっ、てんとう虫さん♪
ホーム(親愛度MAX),○○さんの指のサイズは、うーん…これくらいかな
,○○さんも隣にどうぞ。私たち3人で、のんびりですね
,指輪の交換ですね、○○さん♪あ、いえ、その〜…
,ひざまくら…。どうぞ、○○さん。安らいでくださいね
ルーム,ワンピースにほら、草原の香りが♪
,小さい子のお世話だって、任せてください
,ゆるふわテーブルって、落ち着かなさそうですよね…
,自然と文明は、共生できるって思うんです。互いを思いやれば、きっと…
,え…？遠くから…轟音？まさか…。私の聞き間違いですよね
,は、はい、シャンとします！あの花畑で、気がゆるんじゃって…
,プレゼント、ですか？もらえるなら、変わらない平和がいいですけど
,き、着替えなら、自分でできます〜。その時が来たら、やりますから
ルーム(親愛度MAX),○○さんは、私たちを自由に駆けまわらせてくれる人…
,○○さんは子供好き？ちいさな子はみんな懐いてますし
,○○さんの手、いいですね。苦労と優しさがにじんで
,藍子お姉ちゃんって…○○さんまで呼ばないでっ
親愛度演出(50),アイドルの指輪があったら、真ん中の宝石は、ファンへの思いですね、○○さん。この輝き、もっと大きくしたいなぁ。
親愛度演出(100),高価な指輪を、誓いとともに贈る…。きっとうれしいと思います。けど私、大切なのは、指輪そのものじゃないと思うんです。
,どんなアクセサリーもいつかは壊れます。でも、壊れたあとでも、込められた気持ちや、もらった時の思い出は残りますよね。
,今こうして、○○さんとステージを迎えられたこと…。それが、みんなの中に生き続ければ、私は幸せです。
プロフィール,覚悟はしていたつもりです。こんな私でも、優しくいられないときは来るんじゃないかって。でも…。優しさに守られてきた私だから…今度は誰かを守りたい…ヴァルキュリアとして
ホーム,後悔するかもしれません。それでも、やらなければなりませんから
,街が、人の住む森なら…。見たくないんです、これ以上、枯れるのを
,サバイバル…。忘れてました。自然はいつも、生存競争だって
,いきましょう、夕美さん。ふたりで、一番弱い私たちの…強さを見せに
,格闘術の演技指導ですか？お願いしま…あっ、まいりました…
,や、破れてるところは縫ってくれなくても…。こういう衣装なんですって
,お別れの握手…。でも、最後じゃありません。ぬくもりに再会を誓って
,引き留めないでください〜。決心がにぶってしまいます。あぁ…
ホーム(親愛度MAX),役目を果たします。○○さんがつないでくれたから
,無事に帰ってこられたら…叱ってくださいね、○○さん
,○○さんに触れられると…震えが止まります
,○○さんの愛、たしかにもらいました。この…心の核に
ルーム,ルームの警備隊でーす♪
,お散歩じゃなくて、偵察ですから。偵察♪
,現地のお天気、調べておかなきゃ…
,もっとキビキビ動くには…。あ、そうだ、行進曲、かけてもらえますか？
,え、攻撃…！？とっさには、反応できないですよ〜
,治療ですね？はい、心の癒しも、私にお任せですっ
,あぅ〜、笑わないでください〜。これでも必死に着こなそうとして…
,あ！今、写真を撮られたような…。まさか…この姿、似合わない？
ルーム(親愛度MAX),○○さんが強いのは、きっと戦う理由があるからですね
,○○小隊は、志望者たくさん。居心地がいいからかな？
,どうかご安心を。自分に厳しく、○○さんに優しくです
,あの…○○さんのそばに、どうか私を。お守りします
親愛度演出(400),ふぅ…どうにか制圧できたみたいですね。○○さん、弱い私をもっと叱咤してください。甘さは、要らないはずだから。
親愛度演出(600),聞こえますか、人々の声が…！戦いを嫌う私たちが、あえて挑んだからこそ勝利を迎えることができたんですね。
,人々を鼓舞する役目…。それは本来の私ではなかったかもしれません。でも苦手を避けるようではみんなに希望を与えられないから。
,この戦いは、誰かに勝った戦いではなく、自分に勝った戦いです。○○さん、共に手にした未来を…喜んでください
