プロフィール,気取ったところのない、昔ながらのカフェ……。表通りのおしゃれな店もいいですけど、こういう場所で、ゆったりするのもいいですよね。
,立ちのぼる湯気もほら、なんだかふんわり♪
ホーム,ラテアートはねこさんにしました。うふふっ♪
,ふんふん…このポエム、心がとっても安らぐなぁ
,オーガニックかぁ。こういうアイドルになりたいなっ
,このお店は、キッチンから聞こえる水音も、どこか優しくて…
,ヒモ、ほどかないでください〜。パサッって落ちちゃいます…
,お砂糖、入れてくれるんですか？では、そこの黒砂糖をひとつまみ…
,あっ、雑誌、読みますか？いいですよ。どうぞ♪
,ええ、鹿さんのネックレスです♪かけてみたいですか？
ホーム（親愛度MAX）,○○さんとの昼下がり…。とても大切な時間です♪
,プロデューサーさんて…気のおけない人ですね。ふふ
,○○さんの手、あたたかいですね。陽だまりみたいです
,ご注文は…えっ、私ですか？もう○○さんっ
ルーム,森の香りのチップ、持ってきましたよ
,今日は、窓際に座ろうかなっ
,観葉植物に話かけてあげてくださいね。喜びますから♪
,なにもしない時間も楽しみたいです♪
,きゃっ、ゆるふわでも、ふわふわではないですっ
,事務所でもカフェ気分を味わえたら…みんな安らぐかな？
,花飾りは、ちょっと落ち着いた色合いにしてみました
,こすると木の香りがするんですっ♪
ルーム（親愛度MAX）,私が、○○さんの癒しスポットになれたらなぁ
,○○さんは今頃…あのお店かな？なんて…
,お誘いですか？あのカフェへいきましょう、○○さん
,感じます…○○さんの…ぬくもり…
ライブクリア,歓声が…森のせせらぎのよう…
親愛度演出(50),親しみが増すほどに、一緒にいても気にならなくなるんですね。このカフェも○○さんも…そんな感じです
親愛度演出(100),考えてみたら、不思議な時間ですよね。○○さんとふたり、私のお気に入りのカフェで過ごしているなんて
,お仕事の待ち時間だから、オンのような、オフのような……。今の私はアイドル、プライベート……どっちなんでしょう？
,……きっと、どっちでもいいですね♪楽しく、ゆるやかに時が流れれば。もう一杯、飲みましょうか？今度は同じのを♪
プロフィール,ここは…まるで夢の世界みたい。純白のドレス、赤青黄色の花々も。それに、草や動物が奏でる、自然の調べ…。
,この森のようなステージに、いつかきっと立てる日を夢見て…
ホーム,小さな幸せが、ほら、いっぱいです…
,ここはきっと…森の心の中なんですね。こんなに豊かで…
,綿毛さん、飛んでいってね。私達の夢を乗せて
,自由に咲く花が、本当の花…。私も咲くなら、そんな風に…♪
,森の妖精ではありませんよ。ほら、触れますし♪
,蝶をつかまえたらダメですっ。指を伸ばせば、止まってくれますから
,このドレスを着こなすには、心も真っ白じゃないと、ですね
,あのっ、出した肩に触れられるのは…ちょっと
ホーム（親愛度MAX）,私にも憧れはあるって…知ってください、○○さん
,動物が○○さんを見て…。ふふふっ、優しい人ってわかるんですね
,○○さんの手、つかまえました♪さあ、森の奥へ
,うふふっ、ふざけていると、ふたりとも草の上に転んでしまいますよ
ルーム,アイドルたちの小さな幸せ…この部屋に集めましょう♪
,ドレス、汚さないようにしなくちゃ
,たんぽぽな藍子です♪
,森の風を…導き入れますね
,たんぽぽのティアラ…お日様の匂いです…♪
,あ、綿毛、ついていましたか？さっき、飛ばしたのかな
,お姫様にご指名は…ま、まだ早いと思いますから
,ま、回れませんよ？バレリーナじゃありませんからっ
ルーム（親愛度MAX）,○○さんに、おめかしした私…撮ってほしいな…
,この服で、○○さんと散歩したら、目立っちゃいそう…
,○○さんに、草花の香りをおすそわけです
,○○さんの呼ぶ声…。まるで森のように澄んでます
親愛度演出(200),たんぽぽの綿毛、一緒にふーっってしませんか、○○さん。なるべく優しく、そーっと…ね
親愛度演出(300),色とりどりの花…。そして歌う鳥さんたち…。この森は、私を閉じ込めるのではなく、守ってくれている気がします。
,ここは、私がいつも感じている気持ちに似ているんです。あたたかな居心地と、大きな安心感……
,そう、○○さんのプロデュースです。愛に包まれて……のびやかに育っていけたらな……。
